name,rating,date,review,mentioned_products,review_length
John,1,23-Apr-25,january 2025 present april 23 2025 instacart delivered food order stop shop bayonne nj wrong address total 6 times time finishing touch delivered abandoned home complained stop shop helpful trying fix problem instacart gave address guess expected pick paying hefty fee deliver correct address cancelled order s s gave credit order 85 years old moretoday 3 days later received complaint mailman food order obstructing pathway house order perishables milks refrigerated juices frozen foods cold cuts rotisserie chicken veggies fruit assume lying porch sun 3 days called s s help contacted instacart response don t pick things contact times orders trying straighten misdeliveries totally useless arrogant don t know manage stay business kind service customer service high delivery price problems times delivery stores,milk,814
Sophie,1,21-Mar-25,worst grocery delivery ordered groceries produce items wrapped produce bags puts lettuce celery green onion fruit directly shopping cart checkout stand putting items produce bag sanitary hygiene reasons delivery car rain elevator placed doorstep send photo stating address pay expedited delivery fee contacted customer service spoke different representatives giving runaround regarding refund morei brought groceries store manager ready speak got runaround regarding refund left bags groceries store don want groceries packed driver doesn practice basic hygiene food handling safety protocols cost 80 waiting refund trying cancel free trial use instacart wish read bad reviews prior using company use did dinner wasted 2 1 2 hours time trying resolution m sure won business long 1 star reviews,onion,793
Nancy,1,"Oct. 24, 2024",things order ordered different types brand ordered original ordered unsweetened almond milk pea soup dented expensive worth money try delivery services accurate,milk,160
Kimberly,1,21-Jun-24,instacart customer 2020 overall good experiences tipped 25 30 service great 15 20 just average delivery area pretty decent times delivery important items needed day missing refunded happened maybe twice pick aldi problem delivery awful shopper quality really gone downhill foremost order hour late things happen little forgiving cold items ruined shopper did items cooler doing orders according insta cart did credit ruined order oh milk smelled like fish wth morenow used 10 coupon 2nd order month refused refund use new pick order fresh correct items gave 5 credit customer service stinks canceled subscription maybe pick shop aldi just use website class action lawsuit consumers got screwed greed instacart m totally recommend instacart,milk,739
Ronald,1,17-Apr-24,placed order evening local dillons delivered 3 01 3 40pm received text messages updating kober shopping checking delivery received order 5 24pm called dillons spoke manager advised dillons contracted instacart suggested contacting instacart instacart support helpful offered apology suggested going directly shopping needs kober apparently shopped drove north past address make delivery silverware ks fortunately perishables catfish cheese milk acceptably cool kober assured maxed car ac m just glad didn t ask tip absolutely time,milk,530
Francis,1,08-Apr-24,place order 04 02 24 5 large 7 oz dark chocolate russell stover easter bunnies 6 49 clearly checked box did want substitutes wanted refund instead store didn t 7 oz dark chocolate bunnies instead received 5 small 3 oz milk chocolate russell stover bunnies didn t want charge card charged 39 81 order printed order number email address used mention wanting substitues wanted refund worse days later record order instacart s website nada extremely poor people business complete total rip refund record order,milk,505
Ray,1,21-Mar-24,discontinued cart times 45 years 4 years gone delivery companies grocery store accounts reason come instacart recent couple years really gone bad understand people come country don t understand things operate food items maintaining proper temp proper dress code forth far professional person shops delivers food instructor doesn t match criteria anymore ve food come steaks milk cheese frozen products ambient temperature outside ve food come hot touch bag frozen fish couldn t eat ve eaten getting sick called complained moreand s want credit account use compensation screwing thank m instacart guess just t believe arrogance don t care hope right money opportunity dispute hatred just satisfaction ll m taking advantage,milk,721
Honda,1,14-Mar-24,ordered groceries 4 issues received order contacted instacart times issue resolved following issues more1 charged 2kg tomatoes delivered 0 76kg did response complaint 2 charged 0 35kg ginger delivered 0 17kg did response complaint 3 ordered organic bananas delivered regular ones promised credit account did 4 delivered extra item ordered resolved issue total charged 8 extra just 53 groceries rip buying,"banana, bananas",404
L,1,"Feb. 29, 2024",instacart app overcharges app calculate prices produce higher weights purchase charged double actual price shoppers bought rotten food left shattered bag milk pouring porch instacart s response flag account problematic despite providing photo proof advertise charge store prices charge higher prices stores lie apply 2 credits delayed delivery honour credits offer excuse account flagged morehow 2 delivery rebate contingent account status given agreed issues fault flag account basically overcharge disregard advertises credits allow shoppers poor service penalize customer ask refunds exploded bags milk clean porch,milk,617
heidi,1,"Dec. 18, 2023",using fred meyer app uses instacart just order bunch stuff son delivered really sick livid shopper went shopping mark stock went damn shopping spree phone instacart spent 127 card just called instacart gave earful let know huge flaw delivery drivers just cancel order order want charge person credit card e attached order canceling everythingmorefisherman friends cough dropscovid testgatoradecold medicine night daytop romainsoda crackersprogress chicken noodlesprite attached boughtcascadecliff barscucumbersbagelscutiesmilkbananasstrawberriesgrapesegg nogground beef2 things eggskroger cheesetillamook cheesecream cheesecarrotshummuscoffeebacontidei demanded manager claim 7 pm let son know shopping buying stuff drop apartment ended driving hour son s house bring things needed crazy crime include images showing canceled order bought include order final receipt showing price got charged delivered,"banana, bananas, strawberries, milk",902
C,1,"Nov. 12, 2023",consistently wrong items missing items paid entirely wrong orders minimum 2 screwups happens sorry person needed berries bananas kiddos sorry got salad wrap ginger ale took 30 min 5 kidding 5 csrs 1 refund order bare minimum legal standpoint takes 10 days offered 5 credit inconvenience m going using service t bothered right make right moreno need csr cancel membership s predatory idc s legal cancelled instacart service tonight saying really true want right rely delivery drive t imagine insanity bring homes severe issues managed worng stuff able order depended money s 10 days hey sorry aim aim,"banana, bananas",599
G,1,"Oct. 10, 2023",recently tested positive covid forced grocery shopping online gave trash company try ordered groceries indian store woman doing shopping idea buying didn t care ordered pepper papad got bag pepper corns ordered frozen patra got paratha pictures 2 items different believe mistake vegetable flat bread okra picked largest mature tough okra fibrous edible clearly eaten bought okra got dry dal oil dal requested cart left essential milk told chosen replacement essential purchase moreinstacart asks tip place order uncomfortable prefer decide product delivered claim likely shopper promise tip sorry instacart paying shoppers begging tips tip decide advance contacted support complaining purchase errors offered minimum refund reflected account gave written confirmation refund evidence chat overall end end horrible experience company values decency honesty clueless customer service,milk,881
