name,rating,date,review,mentioned_products,review_length,리뷰(번역)
John,1.0,23-Apr-25,january 2025 present april 23 2025 instacart delivered food order stop shop bayonne nj wrong address total 6 times time finishing touch delivered abandoned home complained stop shop helpful trying fix problem instacart gave address guess expected pick paying hefty fee deliver correct address cancelled order s s gave credit order 85 years old moretoday 3 days later received complaint mailman food order obstructing pathway house order perishables milks refrigerated juices frozen foods cold cuts rotisserie chicken veggies fruit assume lying porch sun 3 days called s s help contacted instacart response don t pick things contact times orders trying straighten misdeliveries totally useless arrogant don t know manage stay business kind service customer service high delivery price problems times delivery stores,milk,814,"2025년 1월부터 2025년 4월 23일까지 인스타카트가 뉴저지 베이온의 스톱 앤 샵에 잘못된 주소로 음식 주문을 총 6번 배달했습니다. 매번 마무리 터치를 한 뒤에는 버려진 집에 배달되었고, 스톱 앤 샵에 불평했지만 문제를 해결하려는 데 도움이 되지 않았습니다. 인스타카트는 주소를 제공하지 않았고, 제대로 된 주소로 배달하기 위해 높은 수수료를 지불해야 한다고 추측했습니다. 주문을 취소했고, 스톱 앤 샵은 주문에 대한 신용을 제공했습니다. 85세 이상이고 오늘은 3일 후에 우편 배달부로부터 음식 주문이 집 앞 길을 막고 있다는 불만을 받았습니다. 주문에는 유통기한이 있는 우유, 냉장고에 보관되는 주스, 냉동 식품, 콜드 컷, 로티세리 치킨, 채소, 과일이 포함되어 있었는데, 3일 동안 햇볕에 노출되어 있다고 가정했습니다. 스톱 앤 샵에 도움을 요청했지만, 인스타카트에 연락했을 때는 응답이 없었습니다. 물건을 가져가지 않으려고 하며, 여러 차례 주문을 하려고 했지만 잘"
Sophie,1.0,21-Mar-25,worst grocery delivery ordered groceries produce items wrapped produce bags puts lettuce celery green onion fruit directly shopping cart checkout stand putting items produce bag sanitary hygiene reasons delivery car rain elevator placed doorstep send photo stating address pay expedited delivery fee contacted customer service spoke different representatives giving runaround regarding refund morei brought groceries store manager ready speak got runaround regarding refund left bags groceries store don want groceries packed driver doesn practice basic hygiene food handling safety protocols cost 80 waiting refund trying cancel free trial use instacart wish read bad reviews prior using company use did dinner wasted 2 1 2 hours time trying resolution m sure won business long 1 star reviews,onion,793,"제일 최악의 식료품 배송 주문한 식료품 생산물을 포장한 봉투에 담아 상추, 셀러리, 파란 양파, 과일을 쇼핑 카트에 직접 넣고 체크아웃 스탠드에 놓아두었습니다. 생산물 봉투에 물건을 넣는 이유는 위생상의 이유였지만 배송 차량에서 비가 오는 엘리베이터에 놓아두고 문 앞에 놓고 사진을 찍어 주소를 명시하고 긴급 배송 요금을 지불했습니다. 고객 서비스에 연락하여 환불에 대해 둘러대는 서로 다른 대표들과 대화했지만 더 이상은 못 참겠어서 가게로 식료품을 가져갔고, 매니저와 대화하려고 했지만 환불에 대해 둘러대기만 했습니다. 가방에 식료품을 넣어두지 않았는데, 운전사가 기본 위생 및 식품 처리 안전 규정을 따르지 않았습니다. 80달러를 지불하고 환불을 기다리고 있으며 무료 평가판을 취소하려고 노력하고 있습니다. 인스타카트를 사용하기 전에 나쁜 리뷰를 미리 읽었으면 좋았을텐데, 이 회사를 사용한 것은 저녁 식사를 했지만 2시간 반의 시간을 낭비했고 해결"
Nancy,1.0,"Oct. 24, 2024",things order ordered different types brand ordered original ordered unsweetened almond milk pea soup dented expensive worth money try delivery services accurate,milk,160,"주문한 물건들이 다양한 종류의 브랜드로 주문되었는데, 원래 주문한 것은 달지 않은 아몬드 우유와 피스프 스프였습니다. 스프는 찌그러진 상태로 도착했고, 조금 비싼 편이지만 가치는 있었어요. 배달 서비스는 정확했습니다."
Kimberly,1.0,21-Jun-24,instacart customer 2020 overall good experiences tipped 25 30 service great 15 20 just average delivery area pretty decent times delivery important items needed day missing refunded happened maybe twice pick aldi problem delivery awful shopper quality really gone downhill foremost order hour late things happen little forgiving cold items ruined shopper did items cooler doing orders according insta cart did credit ruined order oh milk smelled like fish wth morenow used 10 coupon 2nd order month refused refund use new pick order fresh correct items gave 5 credit customer service stinks canceled subscription maybe pick shop aldi just use website class action lawsuit consumers got screwed greed instacart m totally recommend instacart,milk,739,"인스타카트 고객 2020 전반적으로 좋은 경험을 했습니다. 팁을 25-30% 정도 주면 서비스가 좋고 15-20% 정도 주면 보통입니다. 배달 지역은 꽤 괜찮고 중요한 물품이 필요한 날에 물품이 빠진 경우가 있으면 환불을 받을 수 있습니다. 이런 일이 두 번 정도 있었는데 알디에서 물품을 수거하는 데 문제가 있었고 배달이 정말 최악이었습니다. 쇼퍼의 품질이 많이 떨어진 것 같습니다. 무엇보다도 주문이 한 시간 늦게 도착했는데 이런 일도 있지만 조금 너그러워야 할 것 같습니다. 차가운 물품이 망가지면서 주문이 망가졌는데 쇼퍼가 냉장고에 넣어주지 않았습니다. 인스타카트에 따르면 주문이 망가졌다고 해서 크레딧을 돌려주지 않았습니다. 오, 우유가 물고기 냄새가 난다고요? 이게 무슨 일이죠? 더 이상 지금 사용하지 않을 거에요. 10달러 할인 쿠폰을 사용했는데 두 번째 주문에는 거부당했고 환불을 받을 수 없었습니다. 새로운 쇼퍼를 선택하고 올바른 물품을 주문했는데 5달러 크레딧을 받았습니다."
Ronald,1.0,17-Apr-24,placed order evening local dillons delivered 3 01 3 40pm received text messages updating kober shopping checking delivery received order 5 24pm called dillons spoke manager advised dillons contracted instacart suggested contacting instacart instacart support helpful offered apology suggested going directly shopping needs kober apparently shopped drove north past address make delivery silverware ks fortunately perishables catfish cheese milk acceptably cool kober assured maxed car ac m just glad didn t ask tip absolutely time,milk,530,"저녁에 주문을 한 후 현지 딜론스가 3시 01분부터 3시 40분까지 배송했고, 쇼핑을 확인하고 배송을 확인하는 텍스트 메시지를 받았습니다. 주문은 5시 24분에 받았고, 딜론스에 전화하여 매니저와 이야기했는데, 딜론스가 인스타카트와 계약을 맺었다고 하여 인스타카트에 연락하라고 제안했습니다. 인스타카트 지원팀은 도움이 되었고 사과를 제안하며 쇼핑을 직접 하는 것을 제안했습니다. 코버가 쇼핑을 하고 북쪽으로 주소를 지나가서 실버웨어 KS로 배송을 했지만 다행히 식품이나 고양이 피쉬, 치즈, 우유는 적당히 시원했습니다. 코버는 차의 에어컨을 최대로 틀었다고 확신했고, 다행히 팁을 요청하지 않아서 기뻤습니다. 절대적으로 시간을 지키는 것이었습니다."
Francis,1.0,08-Apr-24,place order 04 02 24 5 large 7 oz dark chocolate russell stover easter bunnies 6 49 clearly checked box did want substitutes wanted refund instead store didn t 7 oz dark chocolate bunnies instead received 5 small 3 oz milk chocolate russell stover bunnies didn t want charge card charged 39 81 order printed order number email address used mention wanting substitues wanted refund worse days later record order instacart s website nada extremely poor people business complete total rip refund record order,milk,505,"4월 2일에 24개의 7oz 다크 초콜릿 러셀 스토버 부홍이를 주문했는데, 6.49달러를 지불했습니다. 분명히 대체품을 원치 않았고 대신 환불을 원했는데, 상점은 7oz 다크 초콜릿 부홍이 대신 5개의 작은 3oz 우유 초콜릿 러셀 스토버 부홍이를 받았습니다. 제 카드에 청구되길 원치 않았고, 39.81달러가 청구되었습니다. 주문 번호와 이메일 주소가 기재된 주문서에는 대체품을 원하지 않고 환불을 원했음을 언급했는데, 나쁜 일이 더욱 나빠진 것은 몇 일 후에도 주문 내역이 기록되지 않았습니다. 인스타카트 웹사이트에도 아무것도 없었습니다. 매우 불만족스러운 상황이었고, 사람들의 비즈니스를 완전히 망친 상황입니다. 환불 기록이 없습니다."
Ray,1.0,21-Mar-24,discontinued cart times 45 years 4 years gone delivery companies grocery store accounts reason come instacart recent couple years really gone bad understand people come country don t understand things operate food items maintaining proper temp proper dress code forth far professional person shops delivers food instructor doesn t match criteria anymore ve food come steaks milk cheese frozen products ambient temperature outside ve food come hot touch bag frozen fish couldn t eat ve eaten getting sick called complained moreand s want credit account use compensation screwing thank m instacart guess just t believe arrogance don t care hope right money opportunity dispute hatred just satisfaction ll m taking advantage,milk,721,"45년 동안 존속해 온 카트가 4년 전에 없어졌고 배달 업체들이 식료품 가게 계정을 인스타카트로 변경한 이유는 최근 몇 년 동안 정말 나빠졌다. 나는 이 나라에 온 사람들이 어떻게 운영되는지 이해하지 못하기 때문에 음식 항목들이 적절한 온도를 유지하고 적절한 복장 등을 유지하지 못하고 있습니다. 이전에는 전문적인 사람이 쇼핑을 하고 음식을 전달했지만 이제는 기준에 맞지 않습니다. 스테이크, 우유, 치즈, 냉동 제품 등이 외부 온도에 노출되어 왔고, 뜨거운 손으로 만진 봉지에 냉동 생선이 들어 있어서 먹을 수 없었습니다. 먹었을 때 아프게 되었고, 더 많이 전화해서 불평했지만 크레딧 계정을 사용할 보상을 받지 못했습니다. 이런 일이 계속되어서 너무 화가 나서 인스타카트를 이용하지 않을 것입니다. 그저 돈을 위한 기회를 노리는 것이 아니라, 불만족을 해소하고 싶어하는데 이런 걸 이용하는 것이라고 생각합니다. 제가 이용하는 것에 대해 더 이상 우롱당하지 않기를 바랍니다. 감사합니다."
Honda,1.0,14-Mar-24,ordered groceries 4 issues received order contacted instacart times issue resolved following issues more1 charged 2kg tomatoes delivered 0 76kg did response complaint 2 charged 0 35kg ginger delivered 0 17kg did response complaint 3 ordered organic bananas delivered regular ones promised credit account did 4 delivered extra item ordered resolved issue total charged 8 extra just 53 groceries rip buying,"banana, bananas",404,"식료품을 주문했는데 문제가 4가지 발생했습니다. 주문을 받았지만 인스타카트에 연락하여 문제를 해결했습니다. 다음과 같은 문제가 있었습니다. 1. 2kg 토마토를 주문했지만 0.76kg만 받았고, 불만에 대한 응답이 없었습니다. 2. 0.35kg 생강을 주문했지만 0.17kg만 받았고, 불만에 대한 응답이 없었습니다. 3. 유기농 바나나를 주문했지만 일반 바나나가 배달되었고, 계정에 크레딧을 약속했지만 이행되지 않았습니다. 4. 추가 주문한 품목이 배달되었지만 문제가 해결되지 않았고, 총 8개의 추가 품목이 청구되었습니다. 이러한 문제로 인해 식료품을 구매하는 것이 어려웠습니다."
L,1.0,"Feb. 29, 2024",instacart app overcharges app calculate prices produce higher weights purchase charged double actual price shoppers bought rotten food left shattered bag milk pouring porch instacart s response flag account problematic despite providing photo proof advertise charge store prices charge higher prices stores lie apply 2 credits delayed delivery honour credits offer excuse account flagged morehow 2 delivery rebate contingent account status given agreed issues fault flag account basically overcharge disregard advertises credits allow shoppers poor service penalize customer ask refunds exploded bags milk clean porch,milk,617,인스타카트 앱은 과도하게 가격을 부과하며 앱이 무게를 과대 계산하여 높은 가격으로 식품을 구매하게 되어 실제 가격의 두 배가 청구되었습니다. 쇼퍼들이 부패한 식품을 샀고 깨진 우유가 담긴 가방을 현관에 쏟아냈습니다. 인스타카트의 대응은 문제가 있는 계정을 깃발 표시하였으며 사진 증거를 제공했음에도 불구하고 문제가 있었습니다. 가게 가격을 청구하고 더 높은 가격을 청구하며 가게들이 거짓말을 하고 있으며 2개의 크레딧을 제공하여 배송이 지연되었음에도 크레딧을 제공하지 않았습니다. 계정이 깃발 표시되어 더 이상 크레딧을 제공하지 않았으며 계정 상태에 따라 2회 배송 환불이 제공되었지만 문제는 제가 동의하지 않은 문제에 대한 책임을 떠안았습니다. 계정을 깃발 표시하여 사실상 과도하게 청구하고 광고하는 크레딧을 허용하며 쇼퍼들에게 불량한 서비스를 허용하고 고객을 처벌하며 환불을 요청하는 고객에게 우유가 터진 가방을 청소하라고 요구했습니다.
heidi,1.0,"Dec. 18, 2023",using fred meyer app uses instacart just order bunch stuff son delivered really sick livid shopper went shopping mark stock went damn shopping spree phone instacart spent 127 card just called instacart gave earful let know huge flaw delivery drivers just cancel order order want charge person credit card e attached order canceling everythingmorefisherman friends cough dropscovid testgatoradecold medicine night daytop romainsoda crackersprogress chicken noodlesprite attached boughtcascadecliff barscucumbersbagelscutiesmilkbananasstrawberriesgrapesegg nogground beef2 things eggskroger cheesetillamook cheesecream cheesecarrotshummuscoffeebacontidei demanded manager claim 7 pm let son know shopping buying stuff drop apartment ended driving hour son s house bring things needed crazy crime include images showing canceled order bought include order final receipt showing price got charged delivered,"banana, bananas, strawberries, milk",902,"프레드 메이어 앱을 사용하여 인스타카트를 이용했는데, 아들이 아파서 많은 물건을 주문했고 배달을 받았습니다. 화가 나서 쇼퍼가 쇼핑을 하러 갔다가 재고가 없어서 다른 상품을 쇼핑하러 갔다가 폰으로 인스타카트에 127달러를 썼다는 것을 알게 되었습니다. 인스타카트에 전화해서 큰 결함을 알렸고 배송 기사들이 주문을 취소할 수 있다는 것을 알게 되었습니다. 주문을 취소하고 싶으면 신용카드를 청구하겠다고 했습니다. 주문을 취소하고 모든 것을 샀던 것을 보여주는 이미지와 최종 영수증을 포함한 주문 내역을 첨부했습니다. 7시에 매니저를 요구했고 아들이 쇼핑하고 물건을 아파트에 떨어뜨리는 것을 알려달라고 했지만, 결국 아들 집으로 물건을 가져다주기 위해 한 시간을 운전해야 했습니다. 미친 범죄에 해당하는 상황이었습니다."
